"","participant","song","valence_target","arousal_target","affectcat","songmark","word","songtrials_this_trial_n","rep_number","trial_number","arousal_rating","valence_rating","liking","emotion_rating","emotion_target","anxious","ashamed","scared","alert","angry","happy","active","sad","guilty","tender","frustrated","excited","na"
"914","029","30MonoWAV/30MonoT1.wav","positive","low",4,13,"HAPPY",7,1,23,2,3,3,3,"tender",1,1,1,1,1,3,1,1,1,3,1,2,NA
"915","029","30MonoWAV/30MonoF1.wav","negative","high",2,1,"ASHAMED",8,1,24,3,1,2,1,"fear",2,1,2,3,1,1,2,1,1,1,1,1,NA
"916","029","30MonoWAV/30MonoS1.wav","negative","low",3,9,"EXCITED",9,1,25,1,2,3,1,"sad",1,1,1,2,1,1,1,2,1,3,1,1,NA
"917","029","30MonoWAV/30MonoF2.wav","negative","high",2,2,"ASHAMED",10,1,26,3,1,1,1,"fear",3,1,3,3,1,1,2,1,1,1,1,1,NA
"918","029","30MonoWAV/30MonoH2.wav","positive","high",1,6,"HAPPY",11,1,27,4,4,4,4,"happy",1,1,1,3,1,4,2,1,1,2,1,3,NA
"919","029","30MonoWAV/30MonoT4.wav","positive","low",4,16,"SCARED",12,1,28,3,3,4,1,"tender",1,1,1,2,1,3,2,1,1,3,1,2,NA
"920","029","30MonoWAV/30MonoH4.wav","positive","high",1,8,"SCARED",13,1,29,4,4,3,1,"happy",1,1,1,3,1,3,3,1,1,1,1,3,NA
"921","029","30MonoWAV/30MonoS4.wav","negative","low",3,12,"SCARED",14,1,30,1,1,3,1,"sad",1,1,1,1,1,1,1,3,1,3,1,1,NA
"922","029","30MonoWAV/30MonoT2.wav","positive","low",4,14,"ALERT",15,1,31,3,3,3,2,"tender",1,1,1,2,1,3,2,1,1,3,1,1,NA
"923","030","30MonoWAV/30MonoF3.wav","negative","high",2,3,"GUILTY",0,0,0,3,2,3,1,"fear",1,1,2,3,1,2,3,1,1,1,1,2,NA
"924","030","30MonoWAV/30MonoT1.wav","positive","low",4,13,"ANXIOUS",1,0,1,2,2,3,1,"tender",1,2,1,2,1,1,2,3,2,2,1,1,NA
"925","030","30MonoWAV/30MonoT2.wav","positive","low",4,14,"ASHAMED",2,0,2,4,4,4,1,"tender",2,1,1,3,1,4,3,2,2,2,1,4,NA
"926","030","30MonoWAV/30MonoS1.wav","negative","low",3,9,"ANGRY",3,0,3,2,1,3,1,"sad",2,2,2,3,1,1,2,3,2,2,1,1,NA
"927","030","30MonoWAV/30MonoF1.wav","negative","high",2,1,"ANGRY",4,0,4,5,4,2,1,"fear",2,1,3,4,1,2,4,1,1,1,2,4,NA
